wallet,score,total_coins,win_rate,net_sol,roi
uUJvAggoXhTMAYC6zzN8uNUAtBoarpsYx5EQyrrrAQD,63.1,124,0.69,10.1,0.52
R7FafdmtKEcKJjGeZ4aK2yAX7mU9V4pvRnLm7U8PvXP,63.1,173,0.66,3.8,0.57
7w75fZ3y3S2HeG6C9JFRVkLpob4Jf3bhGugkuVGtPMWD,63.0,287,0.631,108.4,0.62
Go5aSkHhNenbhYojHQsAyjKacgvnB4cUpLwdMikn3Nyx,62.9,746,0.73,167.9,0.43
EaEf6TH8Nd2SThZrPKLkR11U6NojWZEExVL4HiQ1XXuw,62.8,223,0.617,52.0,0.64
61NP6BpRMtaFDT32y4zoLcMPn4HJqZ8GHaXxw5fujVb7,62.8,374,0.797,17.3,0.3
4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9,62.7,414,0.74,640.8,0.4
5D3oQydEzrwFnKRae46Q8a8wqhNVBSp4tkEpaB5kD1TV,62.7,139,0.843,41.9,0.2
2zafsmSGA3eUS2HawzcnDHRVri6MWtZ1pVUDquZNzSFi,62.6,139,0.77,38.0,0.34
932KTqDM1zmYdoUu5KZ8bjJg8VRs6cfy6Be8vpBKf9CN,62.6,153,0.683,7.6,0.51
FtRTGWYSMAcqLBQoN3G8iiQSp3FUj9RhF1AUmYyn2Gp7,62.6,237,0.69,0.1,0.5
CGAZ8ysbcmc6a14uYRqDJfnQvjRF4fVSZBYiTsZgRwcH,62.4,100,0.75,134.0,0.52
6Ys82T6Q26qvmBcHJPCRhwpTh8NBjhxrXCyN93KY6Zor,62.4,34,0.775,85.8,0.94
ALPxgnzNs7nFU2m52eAcDwX3W9sS6ns6nMGVMHsMfZTV,62.4,104,0.744,23.4,0.5
FjkwfPK91zbRKNZVRBEhz99EdjF46ytW8E95djHdG4RX,62.2,111,0.789,229.6,0.35
GJojuTynnRX51VhaYGXh6SQBhQYH1RDtekLgV7ESsc48,62.2,64,0.779,115.1,0.71
8c4vNp67MechJcjKy1czCxV43fjzgYYQTYb3RyJtjvUF,62.2,46,0.869,5.3,0.66
5WxKGiCuSNj4x7MiZpeG3rfpzj9heMSkiKa8jaZwiZut,62.1,182,0.735,35.7,0.39
A8aZE1hcTp9xgDBHKtU1dzEktBpGx5ucqY3Fh7ZjNoFt,62.1,33,0.75,20.3,0.98
3xJ8i2bGkQ3oVwWic5aufiZtodA5MEWdZKcXUPZT8kwj,61.8,36,0.913,94.1,0.63
GFFcGHFjpvNfAFBaH5Tue8wmPv93P9tTYEdqNkXKzZn6,61.8,134,0.631,89.6,0.57
Gfq5VJtapim2wVwAXDbpH2pVNdCL6p2kYTUrcWkmTRh7,61.8,517,0.716,77.0,0.41
8SMEvzENtPcZTFGKmAzYRzzLetoZVbsacPbZsc9vDufs,61.8,25,0.881,10.1,0.77
HhNghc4Umtao5wE49z9xP2dqud98FMdSDyKA3pqoYr9E,61.8,91,0.773,7.3,0.51
5XbhQ6UYeTWKoTNHFi6hVYMuAERzwzGbEQBxVM3rwKup,61.8,162,0.707,0.1,0.43
DJT7655sqtNTsk3LbAqYwXNyLo5rM2X5nyrzFRjehdjU,61.7,71,0.731,53.5,0.73
4acqmVwBrE88isYF37jU9dBYj31GXc9tF1tpa2SVHgHd,61.7,39,0.704,39.2,1.01
6E3qB4gz8vS8t3j61ibSVFndub8reDSC2jSTdhjUBiS,61.6,32,0.683,60.7,1.09
E7yKKGxVCxPV5rAqBsWK8xppcNZxPj7nfWJLXvbWNJrV,61.6,43,0.814,33.6,0.76
d4uZpXsNtK7TR9BjysQPdkjMPVftoDS1DguZnBDfk3E,61.6,89,0.865,11.5,0.33
7SKJAkT3yEwjK16BqoxpicX97vLCJcUX2kQundVAWhku,61.5,145,0.705,377.2,0.42
7Ha7bBAXHEwVJitgv4QrGXThcCdgvyGrBCapKC3EABEe,61.5,49,0.793,129.7,0.75
2cnxtRSdeAXnB9LZYo4oUxAFctqqDV36RmLZvT8WnKZh,61.5,255,0.7,85.4,0.43
BZEUxqGUj6kH9c1z9P4D7xU7J2HjuV1q2bGq19urGyFd,61.5,175,0.799,81.0,0.24
8hnS6wu4anQoKHBs3xw4kwcKxejuVFuLsUVqhpkdFxza,61.5,111,0.819,30.9,0.27
2V8YCTLiX7Usr6YZJU8WuhDCaK3TWFtNZXaDCVAk4Djj,61.4,30,0.766,171.8,0.94
hh1esnZWcmtGLwAN6PvPdttfRNXg2PhA9mQJH7hkbHq,61.4,77,0.762,145.0,0.61
G8uu3S9HupP6oPu6seEMgh8tbtByqsRgVZS4oFXey69Q,61.3,127,0.795,37.6,0.24
qKpZbAeu97Ba4sgpRqEehXD7dSwxWW59pNQkWSxsySJ,61.2,182,0.75,112.2,0.32
DY4tAwMkz6v1KrYkXZNAeyjPNubepmmUZnpPr1fLRoWe,61.2,163,0.651,104.2,0.51
BWiJ8aqkhSQx55KA4mB8KXv82ga2972tLtgpAZiuocrU,61.2,199,0.67,103.5,0.47
3VUNtVtjjx5ckUojT7UocJ5fbuAJRsNUXNfTBnPte9vC,61.1,205,0.71,432.2,0.39
777DyFhFa4Y6ijfSRW9PFqCDAZzU4snQ7v5kWByWGnex,61.1,97,0.679,334.2,0.61
9LYG75uzydYsFZFi219pdgzvxb4wECXoPHaZ7AtaBano,61.1,149,0.701,95.9,0.41
79TSX4NEmzMSfj19rCQwsq59ZRoVHCPX5ELnvkWSjxkm,61.1,159,0.769,19.2,0.28
5QQ5Xi9iyY29th4bt5q9GEA1QFSVprMDk6FRadupE7Aj,61.0,252,0.678,553.1,0.45
Af7MddXPsh5n6LjfiToWPXV3Z86XQQxRNbYksZ5Lodfm,61.0,55,0.694,264.0,0.88
9oceCxp1rsfQhzjSU5joz3TMST3SKDcQFfy6TwaR2gu8,61.0,139,0.655,185.8,0.5
81U5pyqkRG68AB8jcHuDoRSPfMmVMssaeu9yrzWScrvC,61.0,148,0.796,5.7,0.22
9pqbbqUw1Z3zVv4upx6jPKhmCaGbuXCZThhqWoTaR3cH,60.9,332,0.67,253.1,0.46
Fn22cGKVYabVVLa9LeKL7epNzdHCfAdLrbgi5kPsotzJ,60.9,48,0.74,87.8,0.84
CtBsUAjXFH3DiEu4CQb78JFCMkKbU3934yuBg97Y9MHC,60.9,252,0.78,85.4,0.25
8GSDbEhMy3LbuLnqyb1ehQr1wwX3yiMN5pL98NnEM32a,60.9,104,0.842,11.5,0.24
4iq8CKsiGC6b8nkjpC5P1pE3YfDWRbpbCbtbZKDmCiEa,60.8,122,0.682,71.6,0.43
7oirpn4A8vL2uSiF75vVy4YbMQ4MQASWEx242dQoYYy8,60.8,37,0.753,66.6,0.89
5Uzi3MVcn7Dwptstm8qkV1fAdPdhQfcwBuYQBce1bz57,60.8,176,0.781,52.2,0.24
9Q7d2g7xEDctaNXXQkRSk9KPnLKd1ogg1KEkSnuAZyFM,60.8,101,0.659,3.6,0.61
9khkRvs76cmVAfRHswogDqBwikdHDKBH2e9zXLuaYrTn,60.7,331,0.666,251.8,0.46
ADtTiXFs1qp1ZzP59GEQkn6x7GJ16VNRfmC9VdD6fKaS,60.7,60,0.701,146.1,0.82
9tid6pXgWfWE5KY6kPiYjY1B8EQrzDrq6f7FoatjW57X,60.7,196,0.748,57.3,0.3
8gCH86NLvFHtxJeuYnHLFTJteCKswbhmLF4LGe9DRvv9,60.6,70,0.69,74.9,0.77
9VVkRTn3qVyRuBFWLa3cQFS7sNkzi2YwQWnJvPYWcaRy,60.6,317,0.645,65.2,0.5
2CjaVuB8eYEMfuVCLiG2nbAyUfRab3LQLZHJEqcJWuhL,60.6,28,0.733,44.6,0.98
2BL2Gbpn52VBkYHbx7cnnZW1GEcV6f3Ejwg8TB9i1WUC,60.6,128,0.781,29.4,0.23
3UWMaBHL5jE7hGmEDSmDPWFwQK3YJ39nBRFcxdGPSN5C,60.5,83,0.71,133.5,0.63
8ChizXBGYGXFiPrYUqhVKLwskZMY92Zo9ZzMxBhYFgxf,60.5,119,0.664,72.2,0.46
9FvQzySbDqiMzXSVFNxPBb9RoqroLWi6kgCN6qTCL4LL,60.5,31,0.707,71.3,1.01
2F3KfF1Nywc8q3aenPWtUzrGip8HLg9kZk51dbbGv1sF,60.5,126,0.778,53.6,0.23
GW9XLf7RgMoE4gsxn5J3sirHKmSomY3ar8aeR8NzvrXE,60.5,230,0.631,25.9,0.52
